Frequency,F/S,classes,,Teacher units needed per yr,WR ,WR who,Env,,Str,,Trans,,Geo,,Extra,,Any,,
1/yr,F ,CEGE 5541,Environmental Water Chemistry,1,,,1,BA,,,,,,,,,,,
1/2 yrs,S ,CEGE 5542 ( grad lab),Experimental Methods in Env. Eng. ,0.5,,,0.5,"BA, ES",,,,,,,,,,,
1/yr,?,CEGE 5551,Enviromental Microbiology,1,,,1,"SB, PN",,,,,,,,,,,
1/yr,?,CEGE 8504,Theory of Unit Operations,1,,,1,"BX, RH",,,,,,,,,,,
1/2 yrs,?,CEGE 8505,Biological Processes,0.5,,,0.5,"TL, PN",,,,,,,,,,,
1/2 yrs,?,CEGE 8542,Chemistry of Organic Pollutants in Environmental Systems,0.5,,,0.5,"BA, ES",,,,,,,,,,,
1/4 yrs??,?,CEGE 8551,Environmental Microbiology: Molecular Theory and Methods,0.25,,,0.25,SB,,,,,,,,,,,
1/2 yr,F,CEGE 5411,Appl Struct Mech,0.5,,,,,0.5,"QH, JL",,,,,,,,,
1/2 yr,F,CEGE 5414,Prestressed Concrete Design,0.5,,,,,0.5,EbS,,,,,,,,,
1/2 yr,F,CEGE 5415,Masonry Structures,0.5,,,,,0.5,"EbS, LL",,,,,,,,,
1/yr,S ,CEGE 8401,Fundamentals of Finite Element Method,1,,,,,1,QH,,,,,,,,,
,,CEGE 8402,Nonlinear Finite Element Analysis,,,,,,,,,,,,,,,,hasn't been taught since F17 by Stolarski
,,CEGE 8411,Plate Structures,,,,,,,,,,,,,,,,deactivated
,,CEGE 8412,Shell Structures,,,,,,,,,,,,,,,,deactivated 
1/2 yr,S ,CEGE 8413,Fracture and Scaling ,0.5,,,,,0.5,JL,,,,,,,,,
1/2 yr,F,CEGE 8421,Structural Dynamics,0.5,,,,,0.5,"LL, SG, KS",,,,,,,,,
1/2 yr,S ,CEGE 8422,Earthquake Engineering,0.5,,,,,0.5,LL ,,,,,,,,,
1/2 yr,?,CEGE 8431,Structural Stability,0.5,,,,,0.5,JL,,,,,,,,,
